"experimental_unit","combination","min","max","mean","standard_deviation"
"absence",1,0.86607144,1.27593468,"0.962","0.066"
"absence",2,0.41968368,0.516672,"0.442","0.019"
"absence",3,0.36460368,0.5747724,"0.392","0.038"
"absence",4,2.443104,2.7018684,"2.534","0.050"
"all",1,0.78411708,1.860768,"1.279","0.215"
"all",2,0.43605432,0.53725464,"0.458","0.021"
"all",3,0.3761784,0.51073452,"0.403","0.029"
"all",4,10.2590424,10.864656,"10.429","0.103"
"always",1,0.82111716,1.0815408,"0.955","0.045"
"always",2,0.58339008,0.8036496,"0.620","0.041"
"always",3,0.0141122736,0.56679264,"0.381","0.078"
"always",4,2.3678928,2.4997356,"2.433","0.035"
"any",1,0.66600144,1.1164608,"0.934","0.069"
"any",2,0.42563664,0.6027372,"0.446","0.034"
"any",3,0.3812184,0.54377568,"0.401","0.030"
"any",4,4.9994712,5.29605,"5.174","0.078"
"avgDistance",1,1.4388192,3.1681692,"2.262","0.392"
"avgDistance",2,0.5029416,0.6804504,"0.539","0.046"
"avgDistance",3,0.37834128,0.62433504,"0.402","0.043"
"avgDistance",4,16.231608,16.74882,"16.461","0.098"
"count",1,0.8290368,1.183338,"0.918","0.070"
"count",2,0.41050728,0.56002428,"0.441","0.029"
"count",3,0.020033784,0.69752664,"0.393","0.090"
"count",4,5.0151564,5.3624664,"5.180","0.086"
"decreasing",1,0.7358544,1.5189912,"1.047","0.174"
"decreasing",2,0.41948928,0.54329688,"0.441","0.028"
"decreasing",3,0.37296,0.5214834,"0.409","0.033"
"decreasing",4,2.8121472,3.1261248,"2.948","0.048"
"increasing",1,0.54903744,1.3576824,"0.960","0.192"
"increasing",2,0.42094584,0.55786248,"0.444","0.029"
"increasing",3,0.35748432,0.62739216,"0.405","0.045"
"increasing",4,7.84944,8.1770688,"7.947","0.058"
"maxDistance",1,1.27226736,2.9791008,"2.094","0.469"
"maxDistance",2,0.58282056,0.776601,"0.621","0.038"
"maxDistance",3,0.38035872,0.5862672,"0.404","0.036"
"maxDistance",4,17.567748,18.164016,"17.801","0.126"
"minDistance",1,1.32698952,2.7877824,"2.081","0.341"
"minDistance",2,0.4997592,0.69080508,"0.539","0.049"
"minDistance",3,0.36891936,0.65490336,"0.406","0.067"
"minDistance",4,5.121522,5.2415748,"5.179","0.028"
"mixed",1,0.73574424,1.526742,"1.136","0.205"
"mixed",2,0.41605596,0.55261764,"0.437","0.029"
"mixed",3,0.36715464,0.42977016,"0.383","0.012"
"mixed",4,2.7885312,3.2443488,"2.896","0.096"
"nHighestValues",1,0.8677422,1.761048,"1.228","0.219"
"nHighestValues",2,0.56443392,1.1465064,"0.628","0.102"
"nHighestValues",3,0.36992052,0.53291232,"0.392","0.028"
"nHighestValues",4,9.5981184,10.222848,"9.860","0.107"
"nLowestValues",1,0.09256644,1.7767512,"1.259","0.288"
"nLowestValues",2,0.42479532,0.5585544,"0.454","0.029"
"nLowestValues",3,0.37227168,0.50482296,"0.393","0.028"
"nLowestValues",4,9.0815508,9.5728248,"9.308","0.075"
"nonDecreasing",1,0.925425,1.7323956,"1.219","0.163"
"nonDecreasing",2,0.41917716,0.54973728,"0.446","0.028"
"nonDecreasing",3,0.3273084,0.53650116,"0.391","0.038"
"nonDecreasing",4,7.8025248,8.2666728,"8.016","0.081"
"nonIncreasing",1,0.72309744,1.41021432,"1.132","0.153"
"nonIncreasing",2,0.41917716,0.51345576,"0.448","0.023"
"nonIncreasing",3,0.0127792584,0.56780892,"0.384","0.078"
"nonIncreasing",4,7.9231824,8.2181232,"8.000","0.054"
"relativeAvgDistance",1,1.634688,2.9531088,"2.456","0.325"
"relativeAvgDistance",2,0.5071086,0.72906048,"0.543","0.054"
"relativeAvgDistance",3,0.36605952,0.5290704,"0.397","0.029"
"relativeAvgDistance",4,18.863928,19.80252,"19.328","0.177"
"relativeMaxDistance",1,1.596024,3.213936,"2.436","0.410"
"relativeMaxDistance",2,0.50563872,0.75992796,"0.553","0.064"
"relativeMaxDistance",3,0.37389132,0.82028628,"0.406","0.081"
"relativeMaxDistance",4,18.399744,18.89316,"18.543","0.126"
"relativeMinDistance",1,0.135836064,3.1283712,"2.289","0.527"
"relativeMinDistance",2,0.51004836,0.70848216,"0.541","0.050"
"relativeMinDistance",3,0.36944136,0.65740896,"0.405","0.061"
"relativeMinDistance",4,5.4237888,5.9853312,"5.580","0.100"
"sometimes",1,0.7342434,1.1034954,"0.906","0.061"
"sometimes",2,0.4141872,0.57892536,"0.444","0.034"
"sometimes",3,0.37690272,0.52219728,"0.397","0.031"
"sometimes",4,5.0720544,5.464368,"5.262","0.100"
"stable",1,0.5916888,1.34560764,"1.063","0.174"
"stable",2,0.56416608,0.69623568,"0.602","0.034"
"stable",3,0.3804552,0.55704384,"0.400","0.032"
"stable",4,7.7946768,8.09136,"7.861","0.064"
"valueAvg",1,0.6890994,1.6427016,"1.057","0.188"
"valueAvg",2,0.57996936,0.77134464,"0.603","0.036"
"valueAvg",3,0.33487128,0.52789752,"0.391","0.038"
"valueAvg",4,2.8432944,3.0227256,"2.957","0.030"
"valueMax",1,0.6986574,1.5494976,"1.095","0.170"
"valueMax",2,0.4176,0.56304,"0.442","0.029"
"valueMax",3,0.37727856,0.57176712,"0.401","0.035"
"valueMax",4,7.666848,8.0364996,"7.835","0.065"
"valueMin",1,0.824373,1.3135464,"0.995","0.124"
"valueMin",2,0.41948928,0.56660184,"0.443","0.031"
"valueMin",3,0.38386656,0.53228448,"0.404","0.026"
"valueMin",4,7.8903936,8.1361152,"7.950","0.047"
